2025-04-11 13:48:39, Prediction: 0.18, Motion: 5.11, Detected: False
2025-04-11 13:48:39, Prediction: 0.20, Motion: 4.91, Detected: False
2025-04-11 13:48:39, Prediction: 0.22, Motion: 4.99, Detected: False
2025-04-11 13:48:40, Prediction: 0.24, Motion: 4.98, Detected: False
2025-04-11 13:48:40, Prediction: 0.19, Motion: 5.31, Detected: False
2025-04-11 13:48:40, Prediction: 0.15, Motion: 5.56, Detected: False
2025-04-11 13:48:40, Prediction: 0.14, Motion: 5.14, Detected: False
2025-04-11 13:53:27, Prediction: 0.58, Motion: 0.00, Detected: False
2025-04-11 13:53:27, Prediction: 0.41, Motion: 0.28, Detected: False
2025-04-11 13:53:28, Prediction: 0.33, Motion: 0.22, Detected: False
2025-04-11 13:53:28, Prediction: 0.29, Motion: 0.19, Detected: False
2025-04-11 13:53:28, Prediction: 0.31, Motion: 0.19, Detected: False
2025-04-11 13:53:28, Prediction: 0.33, Motion: 0.17, Detected: False
2025-04-11 13:53:29, Prediction: 0.36, Motion: 0.16, Detected: False
2025-04-11 13:53:29, Prediction: 0.37, Motion: 0.15, Detected: False
2025-04-11 13:53:29, Prediction: 0.38, Motion: 0.14, Detected: False
2025-04-11 13:53:29, Prediction: 0.37, Motion: 0.13, Detected: False
2025-04-11 13:53:29, Prediction: 0.37, Motion: 0.15, Detected: False
2025-04-11 13:53:30, Prediction: 0.36, Motion: 0.27, Detected: False
2025-04-11 13:53:30, Prediction: 0.37, Motion: 0.51, Detected: False
2025-04-11 13:53:30, Prediction: 0.36, Motion: 0.75, Detected: False
2025-04-11 13:53:30, Prediction: 0.36, Motion: 1.02, Detected: False
2025-04-11 13:53:30, Prediction: 0.33, Motion: 1.41, Detected: False
2025-04-11 13:53:30, Prediction: 0.30, Motion: 1.57, Detected: False
2025-04-11 13:53:31, Prediction: 0.28, Motion: 1.60, Detected: False
2025-04-11 13:53:31, Prediction: 0.25, Motion: 2.12, Detected: False
2025-04-11 13:53:31, Prediction: 0.24, Motion: 2.33, Detected: False
2025-04-11 13:53:31, Prediction: 0.19, Motion: 2.86, Detected: False
2025-04-11 13:53:31, Prediction: 0.21, Motion: 2.93, Detected: False
2025-04-11 13:53:32, Prediction: 0.19, Motion: 2.95, Detected: False
2025-04-11 13:53:32, Prediction: 0.18, Motion: 2.78, Detected: False
2025-04-11 13:53:32, Prediction: 0.15, Motion: 2.56, Detected: False
2025-04-11 13:53:32, Prediction: 0.15, Motion: 2.24, Detected: False
2025-04-11 13:53:32, Prediction: 0.13, Motion: 2.10, Detected: False
2025-04-11 13:53:33, Prediction: 0.12, Motion: 2.22, Detected: False
2025-04-11 13:53:33, Prediction: 0.11, Motion: 2.07, Detected: False
2025-04-11 13:53:33, Prediction: 0.10, Motion: 2.07, Detected: False
2025-04-11 13:53:33, Prediction: 0.09, Motion: 1.90, Detected: False
2025-04-11 13:53:33, Prediction: 0.07, Motion: 2.14, Detected: False
2025-04-11 13:53:34, Prediction: 0.09, Motion: 2.22, Detected: False
2025-04-11 13:53:34, Prediction: 0.09, Motion: 2.36, Detected: False
2025-04-11 13:53:34, Prediction: 0.09, Motion: 2.51, Detected: False
2025-04-11 13:53:34, Prediction: 0.08, Motion: 2.63, Detected: False
